project,name,facility,owner,address,city,county,cost,sqft_stated,work,status,registered,start,end,scope,design_firm,url,sqft,sqft_source,primary,duplicate_of,cost_per_sqft,cost_suspect,area_is_campus,found_by,geo_precision,lon,lat
TABS2026017750,Project Seafox,Seafox Addition (in process SUSU25-00066),Wurldwide LLC,7001 Stan Roberts Sr,El Paso,El Paso,289000000.0,25943100,New Construction,Review Complete,2026-04-15,2025-11-01,2029-02-28,"Addition of New construction hyperscale datacenter facility/campus.  This site includes 12 new buildings, 5 Owner Substations, and Site work on approximately 600 Acres (25,943,100 SQ FT).",Stantec (Engineer of Record),https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017750,25943100,,True,,11,False,True,scope of work,address,-106.349034,31.986867
TABS2025001810,CyrusOne DFW7 | Shell and Upfit,DFW7,"C1 Fort Worth, LLC",Asphalt Dr,Fort Worth,Tarrant,200000000.0,1904000,New Construction,Review Complete,2024-09-25,2024-10-22,2026-02-22,"New Construction, single-story Data Center with two-story office component.  Total SF expected to be approximately 190,400. Exterior construction to be insulated precast with steel structure.",JHET Architects,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025001810,1904000,,True,,105,False,False,scope of work,address,-97.434737,32.69068
TABS2020019742,"Compass Datacenters DFW I-II, LLC",DFW I-II,Compass Datacenters,820 Allen Commerce Parkway,Allen,Collin,1000000.0,1503933,New Construction,Project Closed,2020-06-29,2020-08-01,2021-08-02,Datacenter,KFM Engineering and Design,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2020019742,1503933,,True,,1,False,False,project name; scope of work,address,-96.65741,33.138672
TABS2026025297,Rise 2A,Rise,Platon Investments LLC,FM 2897 S,Vernon,Wilbarger,500000000.0,991000,New Construction,Project Registered,2026-07-15,2026-03-31,2028-03-31,"New data center with associated mechanical and electrical yards, fire lanes, security entrance, and utilities.",Kimberly - Horn,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026025297,991000,,True,,505,False,False,scope of work,address,-99.377737,34.17223
TABS2026025053,Project Rise 1A,Project Rise 1A,Planton Investments LLC,FM 2897 S,Vernon,Wilbarger,500000000.0,991000,New Construction,Project Registered,2026-07-11,2026-03-31,2028-03-31,"New data center with associated mechanical and electrical yards, fire lanes, security entrance, and utilties.",Kimberly - Horn,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026025053,991000,,True,,505,False,False,scope of work,address,-99.377737,34.17223
TABS2020019741,"Compass Datacenters DFW III-I, LLC",DFW III-I,Compass Datacenters,300 Houston School Road,Red Oak,Ellis,5000000.0,980849,New Construction,Project Closed,2020-06-29,2019-11-14,2020-06-10,Datacenter,KFM Engineering and Design,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2020019741,980849,,True,,5,False,False,project name; scope of work,address,-96.804292,32.53873
TABS2026019322,Edged Energy-Austin,Edged Energy,Capital Land Investments I LP,11255 Hwy 142,Maxwell,Caldwell,2800000000.0,869684,New Construction,Review Complete,2026-05-04,2026-06-01,2028-06-30,"Ground up 869,684sf, 1-level, warehouse building with 35'-3"" max parapet height housing a data center. The project includes storage and business occupancies with data halls and an administrative area.",MG2 Architecture Corporation,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019322,869684,,True,,3220,False,False,scope of work,address,-97.810363,29.868061
TABS2026010861,Project Llano,Building 6,"GN DC1, LLC",10001 Lima Road,Claude,Armstrong,500000000.0,805380,New Construction,Review Complete,2026-01-26,2026-05-15,2027-07-30,"Single story Data Center approximately 805,380 sf, constructed of structural steel columns, beams and framing, insulated metal panels, and glazed curtain wall. It will include office space, multiple data halls and associated support spaces.","HKS, Inc.",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010861,805380,,True,,621,False,False,scope of work,address,-101.458242,35.015923
TABS2026010858,Project Llano,Building 5,"GN DC1, LLC",10001 Lima Road,Claude,Armstrong,500000000.0,805380,New Construction,Review Complete,2026-01-26,2026-04-15,2027-05-28,"Single story Data Center approximately 805,380 sf, constructed of structural steel columns, beams and framing, insulated metal panels, and glazed curtain wall. It will include office space, multiple data halls and associated support spaces.","HKS, Inc.",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010858,805380,,True,,621,False,False,scope of work,address,-101.458242,35.015923
TABS2026003350,Project Llano,Building 4,"GN DC1, LLC",10001 Lima Road,Claude,Armstrong,500000000.0,805380,New Construction,Review Complete,2025-10-14,2025-12-17,2027-02-26,"Single story Data Center approximately 805,380 sf, constructed of structural steel columns, beams and framing, insulated metal panels, and glazed curtain wall. It will include office space, multiple data halls and associated support spaces.","HKS, Inc.",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003350,805380,,True,,621,False,False,scope of work,address,-101.458242,35.015923
TABS2026003348,Project Llano,Building 3,"GN DC1, LLC",10001 Lima Road,Claude,Armstrong,500000000.0,805380,New Construction,Review Complete,2025-10-14,2025-10-21,2027-01-29,"Single story Data Center approximately 805,380 sf, constructed of structural steel columns, beams and framing, insulated metal panels, and glazed curtain wall. It will include office space, multiple data halls and associated support spaces.","HKS, Inc.",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003348,805380,,True,,621,False,False,scope of work,address,-101.458242,35.015923
TABS2026026118,Llano Building 4,Llano Building 4,GN DC1 LLC,10001 Lima Rd,Claude,Armstrong,500000000.0,805308,New Construction,Project Registered,2026-07-24,2026-06-15,2027-03-15,"New construction of approximately 805,380 square feet single story data center constructed of steel columns, beams and framing and containing office space, data halls and associated support area.",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026026118,805308,,True,,621,False,False,scope of work,address,-101.458242,35.015923
TABS2026026002,Llano Building 3,Llano Building 3,GN DC1 LLC,10001 Lima Rd,Claude,Armstrong,500000000.0,805308,New Construction,Project Registered,2026-07-23,2026-05-25,2026-08-01,"An approximately 805,380 square foot single story data center constructed with structural steel columns, beams and framing. It will contain office space, multiple data halls and associated support spaces.",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026026002,805308,,True,,621,False,False,scope of work,address,-101.458242,35.015923
TABS2026023534,Barber Lake,Barber Lake,Will Long,"951 CO ROAD 204, COLORADO CITY, TEXAS 79512",Colorado City,Mitchell,50000000.0,800000,New Construction,Review Complete,2026-06-23,2025-10-13,2026-12-08,"Scope of work consists of a 800,000sf data center facility",MBA Energy And Industrial,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023534,800000,,True,,62,False,False,scope of work,address,-100.922233,32.407805
TABS2026014835,Project Pumpkin 3A,Data Center Building 3A,IP Meitner Land LLC,8850 Co. Rd. 21,Miami,Gray,400000000.0,761000,New Construction,Project Registered,2026-03-12,2026-03-09,2028-04-18,1-story data center with associated central utility buildings,HDR Engineering Inc.,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026014835,761000,,True,,526,False,False,facility name; scope of work,address,-100.700796,35.250955
TABS2026014814,Project Pumpkin 1A,Data Center Building 1A,IP Meitner Land LLC,8810 Co. Rd. 21,Miami,Gray,400000000.0,761000,New Construction,Review Complete,2026-03-12,2025-12-19,2027-11-30,1-story data center with associated central utility buildings.,HDR Engineering Inc.,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026014814,761000,,True,,526,False,False,facility name; scope of work,address,-100.700795,35.250956
TABS2026011989,Project Pumpkin 2A,Data Center Building 2A,IP Meitner Land LLC,8830 Co. Rd 21,Miami,Gray,400000000.0,761000,New Construction,Project Registered,2026-02-08,2026-02-06,2027-12-14,1-story data center with associated central utility buildings.,HDR Engineering Inc.,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011989,761000,,True,,526,False,False,facility name; scope of work,address,-100.700795,35.250956
TABS2026019473,Prime Data Center AUS-01,Prime Data Center AUS01 and AUS02,"Lockhart Property, LLC",1395 Bob White Road,Lockhart,Caldwell,400000000.0,760000,New Construction,Project Registered,2026-05-05,2026-06-01,2027-09-30,"Two new 380,000 sf shell buildings for future use as data centers.  TOTAL SQ FT = 760,000",Gensler,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019473,760000,,True,,526,False,False,facility name; project name,address,-97.747532,29.925383
TABS2026008329,Abilene Building 10,Building 10 Tenant Improvement (TI),"Abilene DC10, LLC",617 FM 2404,Abilene,Taylor,6300000000.0,738382,New Construction,Review Complete,2025-12-17,2026-05-02,2027-11-11,"This proposed work is to build-out an office and data hall Tenant Improvement into an existing 738,382 SF shell building.",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026008329,738382,,False,TABS2026008318,8532,True,False,scope of work,address,-99.775154,32.509739
TABS2026008318,Abilene Building 10,Building 10 Core & Shell (CS),"Abilene DC10, LLC",617 FM 2404,Abilene,Taylor,6300000000.0,738382,New Construction,Review Complete,2025-12-17,2026-03-11,2027-05-03,THE PROPOSED PROJECT IS THE TENTH DATA CENTER ON THE SOUTH SIDE OF THE EXISTING DEVELOPED,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026008318,738382,,True,,8532,True,False,scope of work,address,-99.775154,32.509739
TABS2026008308,Abilene Building 9,Building 9 Tenant Improvement (TI),"Abilene DC9, LLC",617 FM 2404,Abilene,Taylor,6300000000.0,738382,New Construction,Review Complete,2025-12-17,2026-04-15,2027-09-17,"This proposed work is to build-out an office and data hall Tenant Improvement into an existing 738,382 SF shell building.",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026008308,738382,,False,TABS2026008297,8532,True,False,scope of work,address,-99.775154,32.509739
TABS2026008297,Abilene Building 9,Building 9 Core & Shell (CS),"Abilene DC9, LLC",617 FM 2404,Abilene,Taylor,6300000000.0,738382,New Construction,Review Complete,2025-12-17,2026-02-21,2027-04-15,THE PROPOSED PROJECT IS THE NINTH DATA CENTER ON THE SOUTH SIDE OF THE EXISTING DEVELOPED,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026008297,738382,,True,,8532,True,False,scope of work,address,-99.775154,32.509739
TABS2026021191,EDCAUS12,EDCAUS12,BURR COMPUTER ENVIRONMENT INC,6682 FM 535,Cedar Creek,Bastrop,700000000.0,730000,New Construction,Project Registered,2026-05-26,2026-06-30,2028-12-31,"NEW CONSTRUCTION OF A 729,537 SF 1-STORY DATA CENTER WITH SUPPORTING OFFICE SPACE AND ASSOCIATED SITE IMPROVEMENTS.  THE BUILDING IS DESIGNED TO BE A TYPE II-B CONSTRUCTION CLASSIFICATION AND WILL BE FULLY PROTECTED BY AN AUTOMATIC SPRINKLER SYSTEM A","Gensler Architecture, Design & Planning, P.C.",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026021191,730000,,True,,959,False,False,scope of work,address,-97.560156,30.139326
TABS2026021187,EDCAUS11,EDCAUS11,BURR COMPUTER ENVIRONMENT INC,6682 FM 535,Cedar Creek,Bastrop,700000000.0,730000,New Construction,Project Registered,2026-05-26,2026-06-30,2028-12-31,"NEW CONSTRUCTION OF A 729,537 SF 1-STORY DATA CENTER WITH SUPPORTING OFFICE SPACE AND ASSOCIATED SITE IMPROVEMENTS.  THE BUILDING IS DESIGNED TO BE A TYPE II-B CONSTRUCTION CLASSIFICATION AND WILL BE FULLY PROTECTED BY AN AUTOMATIC SPRINKLER SYSTEM A","Gensler Architecture, Design & Planning, P.C.",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026021187,730000,,True,,959,False,False,scope of work,address,-97.560156,30.139326
TABS2022017728,Project Pasca,Project Pasca,Meta,"3101 Industrial Blvd., Building A",Temple,Bell,880000000.0,701631,New Construction,Inspection Complete,2022-04-28,2023-09-05,2026-03-01,Data Center,"Burns & McDonnell Engineering Company, Inc.",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022017728,701631,,True,,1254,False,False,scope of work,address,-97.368102,31.128277
EABPRJB8824650,MICROSOFT SAT11-14,SAT11-14,MICROSOFT,15000 LAMBDA DRIVE,San Antonio,Medina,62000000.0,675000,New Construction,Review Complete,2018-08-24,2018-10-01,2023-12-31,"SAT11-14 are three buildings that are each approx 225,000 sf single story data center that includes 14,000 sf of",CORGAN ASSOCIATES INC,https://www.tdlr.texas.gov/TABS/Search/Project/EABPRJB8824650,675000,,True,,92,False,False,scope of work,county,-99.108648,29.386425
TABS2025020765,Coit 18MW Upgrade,Lincoln Property Company,1000 COIT ROAD LP,1000 Coit Rd.,Plano,Collin,76000000.0,650000,Renovation/Alteration,Project Closed,2025-06-06,2023-04-11,2025-06-30,"Addition of generators, cooling towers, UPSes, switchboards, and other  equipment inside existing facility to support 18MW of critical data hall load (cooling & power).",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020765,650000,,True,,117,False,False,scope of work,address,-96.76596,33.015739
TABS2025023484,ECX AUSTIN DFW33220N,AUS02,"DFW33220N, LLC",8001 WOLF LN BLDG 2 6752 FM 535,Cedar Creek,Bastrop,440000000.0,578000,New Construction,Review Complete,2025-07-14,2025-08-01,2026-06-14,NEW CONSTRUCTION OF A 2-STORY DATA CENTER FACILITY; FULLY SPRINKLERED WITH SITE IMPROVEMENTS.,Gensler,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023484,578000,,True,,761,False,False,scope of work,address,-97.56748,30.140881
TABS2025014265,serverfarm - HTX2,serverfarm,Serverfarm,4801 Betka Rd,Hockley,Harris,137000000.0,565000,New Construction,Review Complete,2025-03-14,2025-07-11,2026-07-10,Ground-up development for data center in Harris County.,HKS Inc.,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014265,565000,,True,,242,False,False,scope of work,address,-95.860792,30.021863
TABS2025016368,QTS DFW2 DC3,QTS DFW2 DC3,"QTS Dallas I, LLC",303 Mason Road,Wilmer,Dallas,350000000.0,560000,New Construction,Project Registered,2025-04-10,2025-11-01,2027-01-01,"New two (2) story Data Center building approximately 560,000 SF. Building will house data center space on both floors with a small administration/business space to support the data center.",Highland Associates,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016368,560000,,True,,625,False,False,operator name; scope of work,address,-96.695879,32.584506
TABS2026017746,FREEBIRD DATA CENTER PHASE 1,DC01,Milam County Data Center LLC,COUNTY ROAD 133,Burlington,Milam,470000000.0,548950,New Construction,Project Registered,2026-04-15,2025-10-20,2026-10-15,"New construction of a single-story 548,950sf data center comprising 4 data halls, supporting infrastructure, a loading dock and administrative office areas.",Corgan Architects Inc,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017746,548950,,True,,856,False,False,project name; scope of work,address,-97.035272,31.000808
TABS2026017642,Hutto Data Center Building - 3,Hutto Data Center Building - 3,Hutto Data Center 3 LLC,3300 COUNTY RD 132 Building 3,Hutto,Williamson,900000.0,503000,Renovation/Alteration,Review Complete,2026-04-14,2026-05-11,2027-08-24,"INTERIOR CONSTRUCTION OF ONE EXISTING 2-STORY DATA CENTER (503,000 SF total) . THE FIT OUT CONSISTS OF TWO (2) DATA HALLS, MEP ROOMS AND FACILITY SUPPORT AREAS INCLUDING: PARTITIONS, FINISHES, MEP AND FIRE SUPPRESSION SYSTEMS.",HKS Inc.,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017642,503000,,True,,2,False,False,facility name; project name; scope of work,address,-97.526211,30.54554
TABS2026026121,AUS02,AUS02 (Building 2),Rowan Digital Infrastructure,1855 Bob White Road,Temple,Bell,780000000.0,500000,New Construction,Project Registered,2026-07-24,2026-08-28,2027-08-27,New construction of a 1 story steel frame and non-loading precast with low slope membrane roof system to support and house data center storage and facility support spaces.,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026026121,500000,,True,,1560,False,False,scope of work,address,-97.295482,31.065267
TABS2024018308,Skybox - Hutto 3 Core Shell,Building 3,"Hutto Data Center 3, LLC",3399 County Road 132,Hutto,Williamson,283046463.0,492350,New Construction,Project Registered,2024-05-10,2024-07-01,2026-06-01,"Site improvements & construction of a new Core & Shell building with a future use as a Data Center. The proposed project has a two story office & a two story Data Center shell scope, 492,350 sf",Corgan Associates,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018308,492350,,True,,575,False,False,scope of work,address,-97.519787,30.542019
TABS2026023798,Nexus Apex HB2,Nexus Apex HB2,Nexus Data Centers Hubbard LLC,357 HCR 3372,Hubbard,Hill,400000000.0,491378,New Construction,Project Registered,2026-06-25,2026-06-30,2028-01-05,Data Center with Site Improvements,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023798,491378,,True,,814,False,False,scope of work,address,-96.736224,31.826949
TABS2026022673,Nexus - Apex DFW HB1,Nexus - Apex DFW HB1 - Building 1,Nexus Data Centers Hubbard LLC,357 HCR 3372,Hubbard,Hill,400000000.0,491378,New Construction,Project Registered,2026-06-11,2026-01-06,2027-10-29,Data Center with site improvements.,"HDR Engineering, Inc",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022673,491378,,True,,814,False,False,scope of work,address,-96.736224,31.826949
TABS2025012765,SAT89/90 Data Center,SAT89/90 Data Center,Microsoft Corporation,2995 US HWY 90 W,Castroville,Medina,765000000.0,489400,New Construction,Review Complete,2025-02-25,2025-06-01,2027-07-31,"Construction of two single-story data center buildings each containing five colos, plus associated campus site construction. Approximately 489,400 square feet gross building area.",WSP USA,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012765,489400,,True,,1563,False,False,facility name; project name; scope of work,address,-98.940451,29.34898
TABS2026020386,Edged Energy Outpost,Edged Energy Outpost,EDC Fort Worth LLC,9999 Chapin School Road,Fort Worth,Tarrant,300000000.0,488770,New Construction,Review Complete,2026-05-15,2026-07-27,2027-12-30,"488,770 sf data center",MG2 Architecture Corporation,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020386,488770,,True,,614,False,False,scope of work,address,-97.487298,32.663711
TABS2025019022,Project Plaid,Crusoe Building 8 Tenant Improvement (TI),"Data Center 3-8 Hold Co, LLC",615 FM 2404,Abilene,Taylor,384000000.0,485000,New Construction,Review Complete,2025-05-14,2025-06-23,2026-06-22,"This proposed work is to build-out an office and data hall Tenant Improvement into an existing 484,960 SF shell building.",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019022,485000,,False,TABS2025016967,792,False,False,scope of work,address,-99.775097,32.509711
TABS2025019019,Project Plaid,Crusoe Building 7 Tenant Improvement (TI),"Data Center 3-8 Hold Co, LLC",615 FM 2404,Abilene,Taylor,384000000.0,485000,New Construction,Review Complete,2025-05-14,2025-06-02,2026-06-02,"This proposed work is to build-out an office and data hall Tenant Improvement into an existing 484,960 SF shell building.",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019019,485000,,False,TABS2025016966,792,False,False,scope of work,address,-99.775097,32.509711
TABS2025019017,Project Plaid,Crusoe Building 6 Tenant Improvement (TI),"Data Center 3-8 Hold Co, LLC",615 FM 2404,Abilene,Taylor,384000000.0,485000,New Construction,Review Complete,2025-05-14,2025-05-26,2026-05-26,"A build-out of an office and data hall Tenant Improvement within an existing 484,960 SF shell building.",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019017,485000,,False,TABS2025016964,792,False,False,scope of work,address,-99.775097,32.509711
TABS2025018970,Project Plaid,Crusoe Building 5 Tenant Improvement (TI),"Data Center 3-8 Hold Co, LLC",615 FM 2404,Abilene,Taylor,384000000.0,485000,New Construction,Review Complete,2025-05-14,2025-05-26,2026-05-26,"This proposed work is to build-out an office and data hall Tenant Improvement into an existing 484,960 SF shell building.",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025018970,485000,,False,TABS2025016961,792,False,False,scope of work,address,-99.775097,32.509711
TABS2025027064,Project Llano,Building 1 TI,GN DC1 LLC,10001 Lima Road,Claude,Armstrong,500000000.0,484965,New Construction,Review Complete,2025-08-29,2025-09-05,2026-09-12,Single-story data center. The architectural interior build-out will include four data halls and associated office support spaces.,HKS Inc.,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025027064,484965,,True,,1031,False,False,scope of work,address,-101.458242,35.015923
TABS2025015061,Project Plaid,Crusoe Building 3 TI,"Data Center 3-8 Hold Co, LLC",615 FM 2404,Abilene,Taylor,384000000.0,484960,Renovation/Alteration,Review Complete,2025-03-25,2025-03-21,2026-03-21,"This proposed work is to build-out an office and data hall Tenant Improvement into an existing 484,960 SF shell building.",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015061,484960,,True,,792,False,False,scope of work,address,-99.775097,32.509711
TABS2025014756,Project Plaid,Crusoe Building 4 Tenant Improvement (TI),"Data Center 3-8 Hold Co, LLC",615 FM 2404,Abilene,Taylor,384000000.0,484960,Renovation/Alteration,Review Complete,2025-03-20,2025-03-21,2026-03-21,"This proposed work is to build-out an office and data hall Tenant Improvement into an existing 484,960 SF shell building.","HKS, Inc",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014756,484960,,False,TABS2025013785,792,False,False,scope of work,address,-99.775097,32.509711
TABS2025007742,Project Ludicrous,Building 02 (Tenant Improvement),"Abilene DC 1, LLC",251 Lancium Way,Abilene,Taylor,384000000.0,484960,New Construction,Review Complete,2024-12-16,2025-03-24,2025-12-24,"This will include Four (4) data hall spaces and an administrative office build-out going into a separately permitted, existing shell building of approximately 484,960 SF.","HKS, Inc.",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007742,484960,,False,TABS2025000049,792,False,False,scope of work,address,-99.679096,32.348499
TABS2025011917,Project Plaid,Crusoe Building 3,Crusoe Energy Systems,615 FM 2404,Abilene,Taylor,292000000.0,484960,New Construction,Review Complete,2025-02-13,2025-03-21,2026-03-21,"DATA CENTER ON THE EAST SIDE OF THE SITE COMPOSED OF AN APPROX. 484,960 SF, SINGLE STORY DATA CENTER, CONSTRUCTED OF STRUCTURAL STEEL COLUMNS, BEAMS AND FRAMING, INSULATED METAL PANELS, AND GLAZED CURTAIN WALL.",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011917,484960,,True,,602,False,False,scope of work,address,-99.775097,32.509711
TABS2025000049,Project Ludicrous,Building 2,Mark Milliet,251 Lancium Way,Abilene,Taylor,292000000.0,484960,New Construction,Review Complete,2024-09-03,2024-09-24,2025-09-11,New 1-story data center,"HKS, Inc.",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000049,484960,,True,,602,False,False,scope of work,address,-99.679096,32.348499
TABS2025000156,Project Ludicrous,Building 01 Tenant Improvement,"Abilene DC 1, LLC",351 Lancium Way,Abilene,Taylor,140000000.0,484960,New Construction,Review Complete,2024-09-04,2024-12-12,2025-09-15,"This proposed work is to build-out an office and data hall Tenant Improvement into an existing 484,960 SF shell building.","HKS, Inc.",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000156,484960,,True,,289,False,False,scope of work,address,-99.780251,32.508418
TABS2025027065,Project Llano,Building 2 TI,GN DC1 LLC,10001 Lima Road,Claude,Armstrong,500000000.0,484954,New Construction,Review Complete,2025-08-29,2025-10-10,2026-11-07,Single-story data center. The architectural interior build-out will include four data halls and associated office support spaces.,HKS Inc.,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025027065,484954,,True,,1031,False,False,scope of work,address,-101.458242,35.015923
TABS2025026470,Llano Building 2,Llano Building 2,GN DC1 LLC,10001 Lima Rd,Claude,Armstrong,292000000.0,484954,New Construction,Project Registered,2025-08-21,2025-08-25,2026-08-24,"New approx. 484,954 SF 1 story Data Center.",Architect Orange LLP dba AO,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025026470,484954,,True,,602,False,False,scope of work,address,-101.458242,35.015923
TABS2025026455,Llano Building 1,Llano Building 1,GN DC1 LLC,10001 Lima Rd,Claude,Armstrong,292000000.0,484954,New Construction,Review Complete,2025-08-21,2025-08-25,2026-08-24,"New approx. 484,954 SF 1 story Data Center. New approx. 300 SF Guard House. New approx. 2,400 SF Fire Pump",Architect Orange LLP dba AO,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025026455,484954,,True,,602,False,False,scope of work,address,-101.458242,35.015923
TABS2024023596,Project Ludicrous Building 1,Project Ludicrous Building 1,LANCIUM ABILENE LLC,351 Lancium Way,Abilene,Taylor,292000000.0,482000,New Construction,Review Complete,2024-07-22,2024-06-01,2025-05-30,"New approx. 479,721 SF 1 story Data Hall.  New approx. 300 SF Guard House.  New approx. 875 SF Fire Pump building.  Various mechanical and electrical enclosures on the site.","HKS, Inc.",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023596,482000,,True,,606,False,False,scope of work,address,-99.780251,32.508418
TABS2025016967,Project Plaid,Crusoe Building 8,"Data Center 3-8 Hold Co, LLC",615 FM 2404,Abilene,Taylor,292000000.0,480000,New Construction,Review Complete,2025-04-17,2025-06-09,2026-12-21,"New approx. 479,721 SF 1 story Data Hall.  New approx. 300 SF Guard House.  New approx. 875 SF Fire Pump building.  Various mechanical and electrical enclosures on the site.",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016967,480000,,True,,608,False,False,scope of work,address,-99.775097,32.509711
TABS2025016966,Project Plaid,Crusoe Building 7,"Data Center 3-8 Hold Co, LLC",615 FM 2404,Abilene,Taylor,292000000.0,480000,New Construction,Review Complete,2025-04-17,2025-06-09,2026-12-21,"New approx. 479,721 SF 1 story Data Hall.  New approx. 300 SF Guard House.  New approx. 875 SF Fire Pump building.  Various mechanical and electrical enclosures on the site.",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016966,480000,,True,,608,False,False,scope of work,address,-99.775097,32.509711
TABS2025016964,Project Plaid,Crusoe Building 6,"Data Center 3-8 Hold Co, LLC",615 FM 2404,Abilene,Taylor,292000000.0,480000,New Construction,Review Complete,2025-04-17,2025-06-09,2026-12-21,"New approx. 479,721 SF 1 story Data Hall.  New approx. 300 SF Guard House.  New approx. 875 SF Fire Pump building.  Various mechanical and electrical enclosures on the site.",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016964,480000,,True,,608,False,False,scope of work,address,-99.775097,32.509711
TABS2025016961,Project Plaid,Crusoe Building 5,"Data Center 3-8 Hold Co, LLC",615 FM 2404,Abilene,Taylor,292000000.0,480000,New Construction,Review Complete,2025-04-17,2025-05-26,2026-11-26,"New approx. 479,721 SF 1 story Data Hall.  New approx. 300 SF Guard House.  New approx. 875 SF Fire Pump building.  Various mechanical and electrical enclosures on the site.",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016961,480000,,True,,608,False,False,scope of work,address,-99.775097,32.509711
TABS2025013785,Project Plaid,Crusoe Building 4,"Data Center 3-8 Hold Co, LLC",615 FM 2404,Abilene,Taylor,292000000.0,479721,New Construction,Review Complete,2025-03-10,2025-03-21,2026-03-21,"New approx. 479,721 SF 1 story Data Hall.  New approx. 300 SF Guard House.  New approx. 875 SF Fire Pump building.  Various mechanical and electrical enclosures on the site.",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013785,479721,,True,,609,False,False,scope of work,address,-99.775097,32.509711
TABS2025005706,"Core Scientific - Denton, TX",Core Scientific Data Center,Core Scientific,8171 Jim Christal Road,Denton,Denton,635000000.0,478685,Renovation/Alteration,Review Complete,2024-11-15,2024-11-01,2025-12-29,Convert bitcoin mining buildings into data centers - construct new office building.,Ci Design Inc.,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005706,478685,,True,,1327,False,False,facility name,address,-97.210947,33.220659
TABS2024010121,QTS FTW1 DC2,QTS FTW1 DC2,QTS FORT WORTH I DC2 LLC,14100 PARK VISTA BLVD,Fort Worth,Tarrant,220000000.0,471876,New Construction,Inspection Complete,2024-01-25,2024-03-01,2026-04-01,"A new two-story, 42 Megawatt Data Center is being constructed in Fort Worth, Texas, as an addition of an existing Data Center Campus.",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010121,471876,,True,,466,False,False,operator name; scope of work,address,-97.259558,32.988591
